@relation forestfires

@attribute "R Mean" numeric
@attribute "G Mean" numeric
@attribute "B Mean" numeric
@attribute "R Standard deviation" numeric
@attribute "G Standard deviation" numeric
@attribute "B Standard deviation" numeric
@attribute "R Median" numeric
@attribute "G Median" numeric
@attribute "B Median" numeric
@attribute "R Max" numeric
@attribute "G Max" numeric
@attribute "B Max" numeric
@attribute "R Min" numeric
@attribute "G Min" numeric
@attribute "B Min" numeric
@attribute "R Entropy" numeric
@attribute "G Entropy" numeric
@attribute "B Entropy" numeric
@attribute "R Energy" numeric
@attribute "G Energy" numeric
@attribute "B Energy" numeric
@attribute "R Kurtosis" numeric
@attribute "G Kurtosis" numeric
@attribute "B Kurtosis" numeric
@attribute "L Mean" numeric
@attribute "a Mean" numeric
@attribute "b Mean" numeric
@attribute "L Standard deviation" numeric
@attribute "a Standard deviation" numeric
@attribute "b Standard deviation" numeric
@attribute "L median" numeric
@attribute "a median" numeric
@attribute "b median" numeric
@attribute "a b Correlation factor" numeric
@attribute "gray Mean" numeric
@attribute "H Mean" numeric
@attribute "S Mean" numeric
@attribute "V Mean" numeric
@attribute "H Standard deviation" numeric
@attribute "S Standard deviation" numeric
@attribute "V Standard deviation" numeric
@attribute "homogeneity" numeric
@attribute class {H, F, N}

@data
170.06936274509803,166.57279411764705,165.8139705882353,72.06168614720461,77.53793881654579,85.65291308828287,187.0,182.5,192.0,255,255,255,0,0,0,5.185895269843345,5.136722413356292,4.613709877370532,0.008020593041138023,0.009946775278738943,0.056870794886582074,-1.2452404635713465,-1.3816397918569772,-1.5424602943122172,171.8732843137255,129.94901960784313,129.24019607843138,74.97788806065968,4.784456965068859,13.37097573546583,191.0,129.0,127.0,-0.33409940712123526,167.54142156862744,78.82107843137256,47.99779411764706,179.6482843137255,49.51281619403643,47.08273636654453,74.11625785500081,0.08126823129227846,N
110.34460784313725,91.76151960784314,76.71323529411765,46.430576157282324,47.56414388975484,53.54199489170956,99.0,79.0,60.0,255,255,255,9,0,0,4.991628487014085,4.9915210030535935,4.984862505576681,0.008620242214532878,0.008919405997693199,0.009221573433294904,1.4585355925046626,1.9181526594101186,2.2736291849538803,101.60367647058824,133.83161764705883,139.7125,47.68989427431485,4.567288886787747,12.683861160785323,89.0,134.0,141.0,-0.4400805388806812,95.6029411764706,44.483823529411765,98.5453431372549,111.85833333333333,56.62283396790639,47.72050883642951,47.274387099713884,0.046230410435090345,N
169.09436274509804,156.31274509803922,148.5127450980392,74.5608625427799,81.25006023716455,89.48754615025406,162.0,146.0,140.0,255,255,255,15,4,0,4.594275894282184,4.84269395543088,4.849217773033366,0.03857975297962321,0.019454296424452133,0.022687307766243753,-1.6457952792657544,-1.681294942474251,-1.7125521148597822,163.3406862745098,132.0985294117647,134.5561274509804,77.70252545621749,5.608300727765632,10.720526705647504,158.0,131.5,132.0,-0.27333882804548754,159.24730392156863,59.95441176470588,58.03014705882353,170.27205882352942,62.85649217055715,52.84563928229882,74.77997139108467,0.18218899517371087,N
180.32916666666668,171.6362745098039,150.31225490196078,69.55697151659535,71.86767904978619,82.3956800148618,183.0,170.5,146.0,255,255,255,20,0,0,4.312616115898393,4.874561135079244,5.138389031458011,0.06832215974625144,0.013219554978854286,0.008347510572856593,-1.5595361780112202,-1.5848543943037297,-1.6576673746661477,177.07720588235293,128.0232843137255,140.64313725490197,68.93604360477312,3.715125020664272,11.57539657393673,179.0,128.0,137.0,-0.6088067114336415,171.81666666666666,32.666666666666664,59.762990196078434,180.96593137254902,36.39974367862062,51.57067255261769,69.54232429780002,0.10799910839755668,N
194.85196078431372,184.93186274509804,155.46470588235294,66.07473595444361,67.70115462609668,83.42136269760438,232.5,215.5,181.0,255,255,255,45,23,0,3.7422213914824844,4.70709176610751,5.04234142713661,0.142036115916955,0.020236928104575162,0.011823096885813152,-1.4005873496840051,-1.4510519748032205,-1.598039782230985,189.82254901960783,127.24338235294118,144.8875,64.91202478840071,3.3007471422306014,11.355478967156314,221.0,128.0,144.0,-0.5549740544425777,184.55392156862746,22.458578431372548,69.31446078431372,194.85269607843136,8.62072570637953,56.81630519475687,66.0753885953407,0.07722792665278899,N
167.10857843137254,146.87745098039215,104.31936274509803,58.536068359256376,55.86415755549216,65.51794932617803,159.5,137.0,88.0,255,255,253,39,16,0,5.0370420076860665,5.270271803576998,5.363531561599174,0.013440864090734337,0.005592680699730874,0.005175413302575937,-1.2413416033995002,-1.047320179827232,-1.1543565769080106,155.83529411764707,129.72450980392156,153.51960784313727,55.02406629805106,5.253205114536656,9.860701753014299,148.0,129.0,153.0,-0.580978291417028,148.07843137254903,19.923529411764704,111.8421568627451,167.12745098039215,7.296590346217025,53.053058783903644,58.51552861917023,0.027298984642377403,N
150.7732843137255,130.29338235294117,70.39485294117647,45.142669502384535,37.478156452908785,56.93150531153376,141.0,127.0,48.0,255,230,211,44,28,0,5.058293554437328,4.968925377601947,5.018134223867702,0.007339124375240297,0.007880022106881976,0.008433054594386782,-0.8381161429762041,-0.6767033737836567,-0.9818184260274134,140.02843137254902,128.46446078431373,161.87279411764706,39.2389321911312,7.182850743770586,13.58092105502092,135.0,127.0,164.0,-0.922407727341293,129.59632352941176,20.943627450980394,151.62745098039215,150.77990196078431,6.7086247223353315,61.484960949115546,45.14038112193477,0.05416545546524567,N
121.06348039215686,104.02598039215687,41.42303921568627,33.688526289719846,32.74972401499651,31.877153269498358,117.0,101.0,35.0,255,240,231,39,11,0,4.84398742931254,4.846579949429807,4.589950769765286,0.009127499038831227,0.009085688196847373,0.01330089388696655,0.9177993862133746,0.3672135111693726,3.3413367857569716,112.75808823529412,127.27867647058824,163.66764705882352,33.02640889622197,5.359528459397658,11.072503142298803,110.0,127.0,163.0,-0.7875404107621079,101.98480392156863,22.978676470588237,173.88553921568626,121.08725490196079,6.919090259056878,45.484282856434575,33.68035638454449,0.030045494541692374,N
116.48480392156863,93.18186274509804,54.87769607843137,28.606419210722486,28.672760942392564,29.132010097811722,115.0,92.0,52.0,255,208,199,33,7,0,4.727681443840428,4.741836175484524,4.67914377505348,0.010464124375240287,0.010270328719723184,0.011168540945790088,1.0748731301021222,0.34462918401351184,1.1245086111200395,104.2593137254902,132.62426470588235,153.01960784313727,29.193571537872348,5.908140732102016,10.162773660456281,104.0,133.0,152.0,-0.6950601499416229,95.79068627450981,19.05612745098039,140.02303921568628,116.48774509803921,15.774717197161504,42.85822453591622,28.6067290660186,0.023109665528624534,N
101.09044117647059,78.8546568627451,58.766666666666666,35.15621171790816,33.63051402241228,34.78532858788775,97.0,74.0,51.0,252,229,208,18,2,0,4.899688580400005,4.837600538441736,4.802363230928676,0.008671544598231449,0.009396386005382546,0.01001141387927721,0.5398498900239828,0.8326618343009189,1.165447345756931,89.11691176470588,134.57083333333333,143.49730392156863,35.74834163536106,3.0517404695994137,6.781245228481872,86.0,135.0,144.0,-0.11200729788911507,83.20490196078431,17.88186274509804,116.29093137254903,101.09044117647059,25.353360848891462,42.543990107071345,35.15621171790816,0.003987328363669697,N
